S_INFO_WINDCODE,S_VAL_MV
002403.SZ,295674.2866
600476.SH,295563.4500
003025.SZ,295548.3283
300486.SZ,295386.1439
301229.SZ,295040.0000
603176.SH,294929.5788
300150.SZ,294893.4507
300464.SZ,294601.6490
600272.SH,294516.0000
300943.SZ,294316.0800
603683.SH,294245.6956
603819.SH,293935.7525
002949.SZ,293863.3514
002725.SZ,293632.0000
002566.SZ,293223.1176
300563.SZ,293126.7053
300556.SZ,292731.4035
600830.SH,292583.8491
001222.SZ,292443.4800
600119.SH,292216.2960
300086.SZ,292050.0000
301108.SZ,292030.5055
600807.SH,291929.4612
300473.SZ,291885.0687
300599.SZ,291877.2271
301119.SZ,291824.0000
002290.SZ,291283.8754
300817.SZ,290947.8943
603289.SH,290838.3629
001212.SZ,290670.1301
603700.SH,290636.0600
300050.SZ,290403.3007
300828.SZ,290208.1416
001218.SZ,290178.6400
603336.SH,289746.7753
688175.SH,289682.0897
002972.SZ,289552.3576
301361.SZ,289443.9680
300694.SZ,289386.0171
603201.SH,289323.4728
300084.SZ,288959.0692
688312.SH,288827.9808
002787.SZ,288808.4638
600505.SH,288737.4600
603042.SH,288579.9425
002731.SZ,288431.6560
001268.SZ,287858.2018
002873.SZ,287278.7835
300501.SZ,287200.7534
000554.SZ,287033.6108
300543.SZ,286895.8814
300539.SZ,286702.5044
603677.SH,286682.4198
603458.SH,286503.1862
300107.SZ,286220.8125
605259.SH,286070.4000
002942.SZ,285948.0000
603679.SH,285888.2257
300419.SZ,285744.6793
600213.SH,285714.0000
000952.SZ,285656.9688
301227.SZ,285348.0000
603500.SH,284819.1802
002325.SZ,284555.3012
688255.SH,284534.4733
688156.SH,284316.0652
600322.SH,284164.9000
300837.SZ,283901.6864
002397.SZ,283795.3855
605336.SH,283742.1093
300198.SZ,283675.8485
603017.SH,283631.1398
301276.SZ,283500.0000
600858.SH,283436.2910
301033.SZ,283410.0598
301082.SZ,283209.7663
301126.SZ,283119.3147
002622.SZ,283080.0000
300879.SZ,283040.0000
605488.SH,282947.3907
600080.SH,282938.8760
301283.SZ,282800.0000
300412.SZ,282725.7698
300407.SZ,282562.0378
001255.SZ,282560.0000
603926.SH,282325.0131
301076.SZ,282231.3520
301365.SZ,282060.0000
000014.SZ,281741.8047
000677.SZ,281656.8110
002998.SZ,281358.9248
688189.SH,281260.0000
600506.SH,281115.7194
688051.SH,281031.7560
300922.SZ,281005.6704
600735.SH,280420.9552
301056.SZ,280392.7870
603311.SH,280230.0815
603682.SH,280192.5000
603036.SH,280168.1940
300932.SZ,280003.0583
301148.SZ,279942.4832
603048.SH,279512.6400
688600.SH,279147.5648
301309.SZ,279100.0000
300221.SZ,279040.0658
002272.SZ,278983.0680
002360.SZ,278831.3281
600423.SH,278744.5641
002989.SZ,278724.5341
600159.SH,278051.0827
300240.SZ,277943.9735
600463.SH,277800.0000
688226.SH,277368.0000
300242.SZ,277300.6329
002779.SZ,277200.0000
002133.SZ,277143.6147
300549.SZ,276947.1800
003036.SZ,276912.0000
300411.SZ,276840.1248
301016.SZ,276840.0000
002774.SZ,276757.4538
002952.SZ,276584.2200
000586.SZ,276425.7600
300652.SZ,276323.7022
300641.SZ,276137.1348
300967.SZ,276099.4762
603192.SH,276085.3340
301059.SZ,275766.7220
301045.SZ,275731.5615
300335.SZ,275713.1603
002420.SZ,275487.0000
300283.SZ,275391.3500
002442.SZ,275350.0200
688360.SH,275318.1813
603895.SH,275279.7600
000430.SZ,275276.0265
300692.SZ,275016.5641
003030.SZ,274765.5600
002887.SZ,274560.0000
300234.SZ,274531.1998
301298.SZ,274516.0000
300169.SZ,274152.8299
002347.SZ,274053.3359
300399.SZ,273873.6000
605258.SH,273856.0000
300176.SZ,273807.5256
688328.SH,273753.3700
002659.SZ,273414.1355
688115.SH,273347.0000
603089.SH,273231.3545
605151.SH,273209.2851
300991.SZ,273168.0000
301235.SZ,273081.6000
300489.SZ,272867.5590
603261.SH,272860.8297
000635.SZ,272356.1344
603023.SH,272046.6266
002687.SZ,271973.9076
301220.SZ,271811.2000
301019.SZ,271800.0000
603331.SH,271712.9095
002094.SZ,271522.7368
300157.SZ,271370.0081
000757.SZ,271152.4924
003018.SZ,270920.0000
002159.SZ,270561.8220
301022.SZ,270233.6000
300162.SZ,270171.2532
300756.SZ,269808.0773
000955.SZ,269735.8950
605122.SH,269734.0100
002319.SZ,269600.0000
688168.SH,269389.5519
301326.SZ,269279.2484
