,symbol,date,time,prev_close,open,high,low,last_prc
4318,000555.SZ,20231117.0,143551000,12.77,12.72,12.79,12.56,12.64
4319,000555.SZ,20231117.0,143554000,12.77,12.72,12.79,12.56,12.64
4320,000555.SZ,20231117.0,143557000,12.77,12.72,12.79,12.56,12.64
4321,000555.SZ,20231117.0,143600000,12.77,12.72,12.79,12.56,12.64
4322,000555.SZ,20231117.0,143603000,12.77,12.72,12.79,12.56,12.65
4323,000555.SZ,20231117.0,143606000,12.77,12.72,12.79,12.56,12.65
4324,000555.SZ,20231117.0,143609000,12.77,12.72,12.79,12.56,12.65
4325,000555.SZ,20231117.0,143612000,12.77,12.72,12.79,12.56,12.65
4326,000555.SZ,20231117.0,143615000,12.77,12.72,12.79,12.56,12.65
4327,000555.SZ,20231117.0,143618000,12.77,12.72,12.79,12.56,12.65
4328,000555.SZ,20231117.0,143621000,12.77,12.72,12.79,12.56,12.65
4329,000555.SZ,20231117.0,143624000,12.77,12.72,12.79,12.56,12.65
4330,000555.SZ,20231117.0,143627000,12.77,12.72,12.79,12.56,12.65
4331,000555.SZ,20231117.0,143630000,12.77,12.72,12.79,12.56,12.66
4332,000555.SZ,20231117.0,143633000,12.77,12.72,12.79,12.56,12.65
4333,000555.SZ,20231117.0,143636000,12.77,12.72,12.79,12.56,12.65
4334,000555.SZ,20231117.0,143639000,12.77,12.72,12.79,12.56,12.65
4335,000555.SZ,20231117.0,143642000,12.77,12.72,12.79,12.56,12.65
4336,000555.SZ,20231117.0,143645000,12.77,12.72,12.79,12.56,12.65
4337,000555.SZ,20231117.0,143648000,12.77,12.72,12.79,12.56,12.65
4338,000555.SZ,20231117.0,143651000,12.77,12.72,12.79,12.56,12.65
4339,000555.SZ,20231117.0,143654000,12.77,12.72,12.79,12.56,12.65
4340,000555.SZ,20231117.0,143657000,12.77,12.72,12.79,12.56,12.65
4341,000555.SZ,20231117.0,143700000,12.77,12.72,12.79,12.56,12.65
4342,000555.SZ,20231117.0,143703000,12.77,12.72,12.79,12.56,12.65
4343,000555.SZ,20231117.0,143706000,12.77,12.72,12.79,12.56,12.65
4344,000555.SZ,20231117.0,143709000,12.77,12.72,12.79,12.56,12.66
4345,000555.SZ,20231117.0,143712000,12.77,12.72,12.79,12.56,12.66
4346,000555.SZ,20231117.0,143715000,12.77,12.72,12.79,12.56,12.66
4347,000555.SZ,20231117.0,143718000,12.77,12.72,12.79,12.56,12.65
4348,000555.SZ,20231117.0,143721000,12.77,12.72,12.79,12.56,12.65
4349,000555.SZ,20231117.0,143724000,12.77,12.72,12.79,12.56,12.65
4350,000555.SZ,20231117.0,143727000,12.77,12.72,12.79,12.56,12.65
