,symbol,date,time,recv_time,prev_close,open,last_prc,volume,high_limited,low_limited,ask_prc1,bid_prc1,ask_vol1,bid_vol1,fill,index_Resource,Time,t_volume,outlier,middle,acc_weight_price,stop
3705,000016.SH,20231201.0,121324000,121324212.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121324000.0,0,0,2341.6126,2349.2,0
3706,000016.SH,20231201.0,121327000,121327212.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121327000.0,0,0,2341.6126,2349.2,0
3707,000016.SH,20231201.0,121330000,121330213.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121330000.0,0,0,2341.6126,2349.2,0
3708,000016.SH,20231201.0,121333000,121333213.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121333000.0,0,0,2341.6126,2349.2,0
3709,000016.SH,20231201.0,121334000,121334213.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121334000.0,0,0,2341.6126,2349.2,0
3710,000016.SH,20231201.0,121336000,121336213.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121336000.0,0,0,2341.6126,2349.2,0
3711,000016.SH,20231201.0,121339000,121339213.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121339000.0,0,0,2341.6126,2349.2,0
3712,000016.SH,20231201.0,121342000,121342213.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121342000.0,0,0,2341.6126,2349.2,0
3713,000016.SH,20231201.0,121345000,121345213.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121345000.0,0,0,2341.6126,2349.2,0
3714,000016.SH,20231201.0,121348000,121348213.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121348000.0,0,0,2341.6126,2349.2,0
3715,000016.SH,20231201.0,121351000,121351219.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121351000.0,0,0,2341.6126,2349.2,0
3716,000016.SH,20231201.0,121354000,121354214.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121354000.0,0,0,2341.6126,2349.2,0
3717,000016.SH,20231201.0,121357000,121357213.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121357000.0,0,0,2341.6126,2349.2,0
3718,000016.SH,20231201.0,121400000,121400213.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121400000.0,0,0,2341.6126,2349.2,0
3719,000016.SH,20231201.0,121403000,121403214.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121403000.0,0,0,2341.6126,2349.2,0
3720,000016.SH,20231201.0,121404000,121404211.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121404000.0,0,0,2341.6126,2349.2,0
3721,000016.SH,20231201.0,121406000,121406215.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121406000.0,0,0,2341.6126,2349.2,0
3722,000016.SH,20231201.0,121409000,121409213.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121409000.0,0,0,2341.6126,2349.2,0
3723,000016.SH,20231201.0,121412000,121412214.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121412000.0,0,0,2341.6126,2349.2,0
3724,000016.SH,20231201.0,121415000,121415230.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121415000.0,0,0,2341.6126,2349.2,0
3725,000016.SH,20231201.0,121418000,121418215.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121418000.0,0,0,2341.6126,2349.2,0
