,level_0,index,time,Unnamed: 0,symbol,date,recv_time,prev_close,open,last_prc,volume,high_limited,low_limited,ask_prc1,bid_prc1,ask_vol1,bid_vol1,fill,index_Resource,Time,t_volume,outlier,middle,acc_weight_price,stop
194,194,194,93442000,214,000016.SH,20231201.0,93442156.0,2365.9962,2362.6263,2352.6897,139016800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93442000.0,523500,0,2352.6897,2358.52,0
195,195,195,93445000,215,000016.SH,20231201.0,93445182.0,2365.9962,2362.6263,2352.5001,139655100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93445000.0,638300,0,2352.5001,2358.49,0
196,196,196,93448000,216,000016.SH,20231201.0,93448191.0,2365.9962,2362.6263,2353.3713,140672300.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93448000.0,1017200,0,2353.3713,2358.46,0
197,197,197,93451000,217,000016.SH,20231201.0,93451188.0,2365.9962,2362.6263,2353.1462,141324400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93451000.0,652100,0,2353.1462,2358.43,0
198,198,198,93454000,218,000016.SH,20231201.0,93454181.0,2365.9962,2362.6263,2353.1134,142675800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93454000.0,1351400,0,2353.1134,2358.38,0
199,199,199,93457000,219,000016.SH,20231201.0,93457198.0,2365.9962,2362.6263,2353.0205,143116200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93457000.0,440400,0,2353.0205,2358.36,0
200,200,200,93500000,220,000016.SH,20231201.0,93500105.0,2365.9962,2362.6263,2352.8483,143591300.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93500000.0,475100,0,2352.8483,2358.35,0
201,201,201,93503000,221,000016.SH,20231201.0,93503103.0,2365.9962,2362.6263,2352.6317,146347100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93503000.0,2755800,0,2352.6317,2358.24,0
202,202,202,93506000,223,000016.SH,20231201.0,93506105.0,2365.9962,2362.6263,2352.8722,147608700.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93506000.0,1261600,0,2352.8722,2358.19,0
203,203,203,93509000,224,000016.SH,20231201.0,93509215.0,2365.9962,2362.6263,2352.7164,148377800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93509000.0,769100,0,2352.7164,2358.16,0
204,204,204,93512000,225,000016.SH,20231201.0,93512198.0,2365.9962,2362.6263,2352.4583,150379200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93512000.0,2001400,0,2352.4583,2358.09,0
205,205,205,93515000,226,000016.SH,20231201.0,93515216.0,2365.9962,2362.6263,2352.2664,151819900.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93515000.0,1440700,0,2352.2664,2358.03,0
